Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,(case) description,Result by Reviewer A,Result by Reviewer B,Result by Reviewer C,Result by Reviewer X,accepts,lifecycle:transition,rejects
1,invite reviewers,Mike,2006-01-01 00:00:00.000,2006-01-06 00:00:00.000,Variant 5,5,Simulated process instance,,,,,,complete,
1,get review 2,Carol,2006-01-09 00:00:00.000,2006-01-09 00:00:00.000,Variant 5,5,Simulated process instance,,reject,,,,complete,
1,get review 3,Pam,2006-01-10 00:00:00.000,2006-01-10 00:00:00.000,Variant 5,5,Simulated process instance,,,reject,,,complete,
1,get review 1,John,2006-01-11 00:00:00.000,2006-01-11 00:00:00.000,Variant 5,5,Simulated process instance,reject,,,,,complete,
1,collect reviews,Anne,2006-01-11 00:00:00.000,2006-01-13 00:00:00.000,Variant 5,5,Simulated process instance,,,,,,complete,
1,decide,Wil,2006-01-13 00:00:00.000,2006-01-18 00:00:00.000,Variant 5,5,Simulated process instance,,,,,0,complete,3
1,invite additional reviewer,Anne,2006-01-18 00:00:00.000,2006-01-20 00:00:00.000,Variant 5,5,Simulated process instance,,,,,,complete,
1,get review X,Pam,2006-01-23 00:00:00.000,2006-01-23 00:00:00.000,Variant 5,5,Simulated process instance,,,,accept,,complete,
1,decide,Wil,2006-01-24 00:00:00.000,2006-01-27 00:00:00.000,Variant 5,5,Simulated process instance,,,,,1,complete,3
1,invite additional reviewer,Mike,2006-01-27 00:00:00.000,2006-01-28 00:00:00.000,Variant 5,5,Simulated process instance,,,,,,complete,
1,get review X,Mary,2006-01-31 00:00:00.000,2006-01-31 00:00:00.000,Variant 5,5,Simulated process instance,,,,reject,,complete,
1,decide,Wil,2006-02-14 00:00:00.000,2006-02-19 00:00:00.000,Variant 5,5,Simulated process instance,,,,,1,complete,4
1,invite additional reviewer,Mike,2006-02-19 00:00:00.000,2006-02-23 00:00:00.000,Variant 5,5,Simulated process instance,,,,,,complete,
1,get review X,Sara,2006-02-25 00:00:00.000,2006-02-25 00:00:00.000,Variant 5,5,Simulated process instance,,,,reject,,complete,
1,decide,Wil,2006-04-08 01:00:00.000,2006-04-10 01:00:00.000,Variant 5,5,Simulated process instance,,,,,1,complete,5
1,reject,Anne,2006-04-11 01:00:00.000,2006-04-13 01:00:00.000,Variant 5,5,Simulated process instance,,,,,,complete,
10,invite reviewers,Anne,2006-02-03 00:00:00.000,2006-02-06 00:00:00.000,Variant 6,6,Simulated process instance,,,,,,complete,
10,get review 2,Sara,2006-02-06 00:00:00.000,2006-02-06 00:00:00.000,Variant 6,6,Simulated process instance,,accept,,,,complete,
10,get review 3,John,2006-02-06 00:00:00.000,2006-02-06 00:00:00.000,Variant 6,6,Simulated process instance,,,accept,,,complete,
10,time-out 1,__INVALID__,2006-02-07 00:00:00.000,2006-02-07 00:00:00.000,Variant 6,6,Simulated process instance,,,,,,complete,
10,collect reviews,Mike,2006-02-07 00:00:00.000,2006-02-11 00:00:00.000,Variant 6,6,Simulated process instance,,,,,,complete,
10,decide,Wil,2006-03-01 00:00:00.000,2006-03-01 00:00:00.000,Variant 6,6,Simulated process instance,,,,,2,complete,0
10,invite additional reviewer,Mike,2006-03-04 00:00:00.000,2006-03-08 00:00:00.000,Variant 6,6,Simulated process instance,,,,,,complete,
10,time-out X,__INVALID__,2006-03-12 00:00:00.000,2006-03-12 00:00:00.000,Variant 6,6,Simulated process instance,,,,,,complete,
