Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,(case) description,call centre,duration,lifecycle:transition,location,outcome
0,incoming claim,customer,1970-01-01 01:00:00.000,1970-01-01 01:00:00.000,Variant 6,6,Simulated process instance,Brisbane,,complete,,
0,B check if sufficient information is available,Call Centre Agent Brisbane,1970-01-01 01:00:00.000,1970-01-01 01:00:41.000,Variant 6,6,Simulated process instance,,,complete,Brisbane,
0,B register claim,Call Centre Agent Brisbane,1970-01-01 01:00:41.000,1970-01-01 01:12:59.000,Variant 6,6,Simulated process instance,,,complete,,
0,determine likelihood of claim,Claims handler,1970-01-01 01:47:04.000,1970-01-01 01:47:12.000,Variant 6,6,Simulated process instance,,,complete,,
0,end,Claims handler,1970-01-01 01:47:12.000,1970-01-01 01:47:12.000,Variant 6,6,Simulated process instance,,2832,complete,,not liable
1,incoming claim,customer,1970-01-01 01:00:00.000,1970-01-01 01:00:00.000,Variant 2,2,Simulated process instance,Sydney,,complete,,
1,S check if sufficient information is available,Call Centre Agent Sydney,1970-01-01 01:00:00.000,1970-01-01 01:00:21.000,Variant 2,2,Simulated process instance,,,complete,Sydney,
1,S register claim,Call Centre Agent Sydney,1970-01-01 01:00:21.000,1970-01-01 01:01:54.000,Variant 2,2,Simulated process instance,,,complete,,
1,determine likelihood of claim,Claims handler,1970-01-01 01:01:54.000,1970-01-01 01:02:05.000,Variant 2,2,Simulated process instance,,,complete,,
1,assess claim,Claims handler,1970-01-01 01:02:05.000,1970-01-01 01:04:09.000,Variant 2,2,Simulated process instance,,,complete,,
1,advise claimant on reimbursement,Claims handler,1970-01-01 01:04:09.000,1970-01-01 01:07:58.000,Variant 2,2,Simulated process instance,,,complete,,
1,initiate payment,Claims handler,1970-01-01 01:07:58.000,1970-01-01 01:08:53.000,Variant 2,2,Simulated process instance,,,complete,,
1,close claim,Claims handler,1970-01-01 01:08:53.000,1970-01-01 01:08:54.000,Variant 2,2,Simulated process instance,,,complete,,
1,end,Claims handler,1970-01-01 01:08:54.000,1970-01-01 01:08:54.000,Variant 2,2,Simulated process instance,,534,complete,,processed
